name,nameScientific,nameCN,namePinyin,property,meridianTropism,flavour,toxicology,storage,characteristics,placeOfOrigin,medicinePart,method,effect,usage,dosage,prohibition,imageLink
,,白及,Bai Ji,凉 Cool,肺经 Lung,"苦 Bitter,甘 Sweet",,,,,,,,,,,
,,白蔹,Bai Lian,凉 Cool,"心经 Heart,肝经 Liver,脾经 Spleen","苦 Bitter,甘 Sweet,辛 Pungent",,,,,,,,,,,
,,白茅根,Bai Mao Gen,寒 Cold,"肺经 Lung,胃经 Stomach,小肠经 Small Intestine,其他 Others",甘 Sweet,,,,,,,,,,,
,,白前,Bai Qian,温 Warm,"肝经 Liver,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,白屈菜,Bai Qu Cai,凉 Cool,"肺经 Lung,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,白芍,Bai Shao,寒 Cold,"胃经 Stomach,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,白术,Bai Zhu,温 Warm,"脾经 Spleen,胃经 Stomach","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,白头翁,Bai Tou Weng,寒 Cold,"大肠经 Large Intestine,肝经 Liver,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,白薇,Bai Wei,寒 Cold,"胃经 Stomach,肝经 Liver,肾经 Kidney","苦 Bitter,咸 Salty",,,,,,,,,,,
,,白鲜皮,Bai Xian Pi,寒 Cold,"脾经 Spleen,胃经 Stomach,膀胱经 Bladder",苦 Bitter,,,,,,,,,,,
,,白芷,Bai Zhi,温 Warm,"胃经 Stomach,大肠经 Large Intestine,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,百部,Bai Bu,温 Warm,肺经 Lung,"甘 Sweet,苦 Bitter",,,,,,,,,,,
Lily Bulbs,Bulbus Lilii,百合,Bai He,寒 Cold,"心经 Heart,肺经 Lung",甘 Sweet,Non-toxic,Store in a ventilated and dry place,"Bulb spherical, 2-4.5 cm in diameter; scales lanceolate, 1.8-4 cm long, 0.8-1.4 cm wide, no nodes, white.","Produced in Guangdong, Guangxi, Hunan, Hubei, Jiangxi, Anhui, Fujian, Zhejiang, Sichuan, Yunnan, Guizhou, Shaanxi, Gansu and Henan. ",Dry fleshy scales.,"Collection and processing
Excavated in autumn, washed, peeled off scale leaves, scalded slightly in boiling water, and dried.

Processing method
Honey Lily : Take the clean lily, and fry it according to the method of honey broiling until it is not sticky. For every 100kg lily, use 5kg of refined honey.","Nourishing yin and nourishing the lungs, clearing the heart and tranquilizing the nerves.","It is used for dry cough due to yin deficiency, hemoptysis due to overwork , restlessness and palpitation due to deficiency, insomnia and dreaminess , and trance.","Decoction , 6-12g.",,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fbaihe.jpg?alt=media&token=2b1ad55a-1bdb-43cf-8bd3-e7b6f3edc3e1
,,柏子仁,Bai Zi Ren,平 Neutral,"心经 Heart,肝经 Liver,脾经 Spleen",甘 Sweet,,,,,,,,,,,
,,板蓝根,Ban Lan Gen,寒 Cold,"心经 Heart,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,半边莲,Ban Bian Lian,平 Neutral,"心经 Heart,小肠经 Small Intestine,肺经 Lung,其他 Others",辛 Pungent,,,,,,,,,,,
,,半夏,Ban Xia,温 Warm,"脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,半枝莲,Ban Zhi Lian,寒 Cold,"肺经 Lung,肝经 Liver,肾经 Kidney","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,薄荷,Bo He,凉 Cool,"肺经 Lung,肝经 Liver",辛 Pungent,,,,,,,,,,,
,,北豆根,Bei Dou Gen,寒 Cold,"肺经 Lung,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,北刘寄奴,Bei Liu Ji Nu,温 Warm,"心经 Heart,脾经 Spleen",苦 Bitter,,,,,,,,,,,
,,北沙参,Bei Sha Shen,凉 Cool,"肺经 Lung,脾经 Spleen","甘 Sweet,苦 Bitter,淡 Light",,,,,,,,,,,
,,荜茇,Bi Bo,热 Hot,"脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,荜澄茄,Bi Cheng Qie,温 Warm,"脾经 Spleen,肾经 Kidney",辛 Pungent,,,,,,,,,,,
,,蓖麻子,Bi Ma Zi,平 Neutral,"大肠经 Large Intestine,肺经 Lung","甘 Sweet,辛 Pungent",,,,,,,,,,,
,,萹蓄,Bian Xu,寒 Cold,膀胱经 Bladder,苦 Bitter,,,,,,,,,,,
,,槟榔,Bin Lang,温 Warm,"脾经 Spleen,胃经 Stomach,大肠经 Large Intestine","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,冰片,Bing Pian,凉 Cool,"心经 Heart,肺经 Lung","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,补骨脂,Bu Gu Zhi,温 Warm,肾经 Kidney,辛 Pungent,,,,,,,,,,,
,,苍耳子,Cang Er Zi,温 Warm,"肺经 Lung,肝经 Liver",甘 Sweet,,,,,,,,,,,
,,苍术,Cang Zhu,温 Warm,"脾经 Spleen,胃经 Stomach","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,草豆蔻,Cao Dou Kou,温 Warm,"脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,草果,Cao Guo,温 Warm,"脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,草乌,Cao Wu,热 Hot,"心经 Heart,肝经 Liver,脾经 Spleen","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,侧柏叶,Ce Bai Ye,寒 Cold,"心经 Heart,肝经 Liver,大肠经 Large Intestine","苦 Bitter,涩 Astringent",,,,,,,,,,,
,,柴胡,Chai Hu,寒 Cold,"肝经 Liver,胆经 Gallbladder,肺经 Lung","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,常山,Chang Shan,寒 Cold,"肝经 Liver,脾经 Spleen","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,车前草,Che Qian Cao,寒 Cold,"肾经 Kidney,膀胱经 Bladder",甘 Sweet,,,,,,,,,,,
,,车前子,Che Qian Zi,寒 Cold,"肾经 Kidney,膀胱经 Bladder",甘 Sweet,,,,,,,,,,,
,,沉香,Chen Xiang,温 Warm,"肾经 Kidney,脾经 Spleen,胃经 Stomach","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,陈皮,Chen Pi,温 Warm,"肺经 Lung,脾经 Spleen","苦 Bitter,辛 Pungent",,,,,,,,,,,
,,赤芍,Chi Shao,凉 Cool,"肝经 Liver,脾经 Spleen","酸 Sour,苦 Bitter",,,,,,,,,,,
,,赤小豆,Chi Xiao Dou,平 Neutral,"心经 Heart,小肠经 Small Intestine,其他 Others","甘 Sweet,酸 Sour",,,,,,,,,,,
,,川贝母,Chuan Bei Mu,凉 Cool,肺经 Lung,"苦 Bitter,甘 Sweet",,,,,,,,,,,
,,川楝子,Chuan Lian Zi,寒 Cold,"肝经 Liver,小肠经 Small Intestine,膀胱经 Bladder,其他 Others",苦 Bitter,,,,,,,,,,,
,,川木通,Chuan Mu Tong,寒 Cold,"心经 Heart,小肠经 Small Intestine,膀胱经 Bladder,其他 Others",苦 Bitter,,,,,,,,,,,
,,川木香,Chuan Mu Xiang,温 Warm,"脾经 Spleen,胃经 Stomach,大肠经 Large Intestine,胆经 Gallbladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,川牛膝,Chuan Niu Xi,平 Neutral,"肝经 Liver,肾经 Kidney","苦 Bitter,甘 Sweet,酸 Sour",,,,,,,,,,,
,,川乌,Chuan Wu,热 Hot,"心经 Heart,肝经 Liver,肾经 Kidney,脾经 Spleen","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,川芎,Chuan Xiong,温 Warm,"肝经 Liver,胆经 Gallbladder",辛 Pungent,,,,,,,,,,,
,,穿山龙,Chuan Shan Long,寒 Cold,"肝经 Liver,肺经 Lung",苦 Bitter,,,,,,,,,,,
,,穿心莲,Chuan Xin Lian,寒 Cold,"心经 Heart,肺经 Lung,大肠经 Large Intestine,膀胱经 Bladder",苦 Bitter,,,,,,,,,,,
,,垂盆草,Chui Pen Cao,凉 Cool,"肝经 Liver,胆经 Gallbladder,小肠经 Small Intestine,其他 Others",甘 Sweet,,,,,,,,,,,
,,刺五加,Ci Wu Jia,温 Warm,"脾经 Spleen,心经 Heart,肾经 Kidney","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,大黄,Da Huang,寒 Cold,"胃经 Stomach,大肠经 Large Intestine,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,大蓟,Da Ji,凉 Cool,"心经 Heart,肝经 Liver","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,大青叶,Da Qing Ye,寒 Cold,"肝经 Liver,心经 Heart,胃经 Stomach",苦 Bitter,,,,,,,,,,,
,,大蒜,Da Suan,温 Warm,"脾经 Spleen,胃经 Stomach,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,大血藤,Da Xue Teng,平 Neutral,"肝经 Liver,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,大叶紫珠,Da Ye Zi Zhu,平 Neutral,"肝经 Liver,肺经 Lung,胃经 Stomach","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,大枣,Da Zao,温 Warm,"脾经 Spleen,胃经 Stomach,心经 Heart",甘 Sweet,,,,,,,,,,,
,,大皂角,Da Zao Jiao,温 Warm,"肺经 Lung,大肠经 Large Intestine","辛 Pungent,咸 Salty",,,,,,,,,,,
,,丹参,Dan Shen,温 Warm,"心经 Heart,肝经 Liver",苦 Bitter,,,,,,,,,,,
,,淡竹叶,Dan Zhu Ye,寒 Cold,"心经 Heart,胃经 Stomach,小肠经 Small Intestine,其他 Others","淡 Light,甘 Sweet",,,,,,,,,,,
,,当归,Dang Gui,温 Warm,"心经 Heart,肝经 Liver,脾经 Spleen","甘 Sweet,辛 Pungent",,,,,,,,,,,
,,当药,Dang Yao,寒 Cold,肺经 Lung,"辛 Pungent,苦 Bitter",,,,,,,,,,,
Codonopsis Root,Radix Codonopsis,党参,Dang Shen,平 Neutral,"脾经 Spleen,肺经 Lung",甘 Sweet,Non-toxic,Store in a ventilated and dry place,"1. Codonopsis root slightly cylindrical , spindle-shaped cylindrical or long conical, less branched or branched below the middle, 15-45cm long, 0.45-2.5cm in diameter. Surface gray-yellow, gray-brown or reddish-brown, with irregular longitudinal grooves and shrinkages, sparse and long horizontal lenticels, multiple ring-shaped wrinkles on the upper part, especially dense near the root head; many protruding stem scars and bud scars on the root head , integrated into a spherical shape, commonly known as ""lion pan head""; sometimes dark brown jelly can be seen at the broken root, which is formed by milk overflow and condensation (commonly known as thin oil spots). Texture is soft or hard, the cross-section is flat, some are horny, the cortex is thicker, yellowish white, light brown or brown, often has cracks dark brown ring at the junction with the xylem, and the xylem occupies about the diameter of the root 1/3-1/2, pale yellow. Slightly fragrant gas, sweet taste, no residue after chewing.

2. Suhua Codonopsis: The roots are slightly shorter, no longer than 30cm, and less branched. The surface is gray-brown, the cork is rough, constricted or twisted, and the upper part is densely ringed; there are many oily spots. The quality is tough, and the section is not very smooth. Chewing with slag.

3. Chuan Codonopsis: The lower part of the root is rarely branched. The surface is grayish brown, the cork often falls off locally, and the upper ring pattern is thinner. The cortex of the section is hypertrophic with few fissures. The taste is slightly sweet and sour.

4. Codonopsis pilosula : The root is branched or the lower part is slightly branched. The surface is wrinkled and shrunk into longitudinal grooves, sparsely and horizontally long lenticels, and the upper part is sparsely ringed; the root head has a spherical lion head, and brown-black jelly overflows from the broken part. Sectioned flour or sugar-like cutin. The gas is slightly fragrant and the taste is slightly sweet.

5. Ginseng : The root is large, 20-43cm long and 1-3cm in diameter. There are shrunken longitudinal grooves on the surface, often twisted, with dense ring patterns on the upper part, and gradually thinner from the middle part upwards to the root head, often with ""snake worm heads""; rhizomes have many small stem scars or bud scars . It has small fissures arranged radially and has a specific odor.

6. Grey-haired common ginseng: only in the lower part of the root. The cross-section is slightly powdery, with bright spots like needle crystals. With specific smell .

It is better to have thick and thick roots, soft and broad flesh , strong aroma, heavy sweetness, and no dregs when chewing.","It is the root of Campanulaceae Codonopsis, Suhua Codonopsis, Chuan Codonopsis, Tube Flower Codonopsis, Ball Codonopsis and Huimao Codonopsis.",Root,"1. After washing the silt, moisten and remove the reeds, slice or cut into sections, and dry in the sun. 

2. Stir-fried Dangshen: Put the bran in a heated pot. When the pot smokes, add Dangshen slices, stir-fry until dark yellow, take out, sieve off the bran, and let cool. (100 catties of Codonopsis pilosula, 20 catties of bran)

Remove impurities, wash, moisten thoroughly, cut into thick slices, and dry. Store in a ventilated and dry place.","Invigorating vital energy, quenching thirst, invigorating the spleen and lungs, nourishing blood and promoting body fluid.","Invigorate the middle, replenish qi, promote body fluid. Control weakness of the spleen and stomach, loss of both qi and blood, fatigue and weakness, lack of food, thirst, chronic diarrhea, prolapse of the anus.","Oral administration: decoction, 3-5 qian, large dosage 1-2 liang; boiled paste or made into pills or powder. 
""Chinese Pharmacopoeia"": 9 ~ 30g.",It should not be used with veratrum.,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fdangshen.jpg?alt=media&token=e7c7fd54-0b98-4df3-9ea2-d1ef05763e1a
,,刀豆,Dao Dou,温 Warm,"肝经 Liver,脾经 Spleen","苦 Bitter,酸 Sour",,,,,,,,,,,
,,灯心草,Deng Xin Cao,寒 Cold,"心经 Heart,肺经 Lung,小肠经 Small Intestine,其他 Others","甘 Sweet,淡 Light",,,,,,,,,,,
,,灯盏细辛,Deng Zhan Xi Xin,温 Warm,"心经 Heart,肝经 Liver","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,地骨皮,Di Gu Pi,寒 Cold,"肺经 Lung,肝经 Liver,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,地黄,Di Huang,寒 Cold,"心经 Heart,肝经 Liver,肾经 Kidney","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,地榆,Di Yu,寒 Cold,"肝经 Liver,大肠经 Large Intestine","苦 Bitter,酸 Sour,涩 Astringent",,,,,,,,,,,
,,颠茄草,Dian Qie Cao,N/A,,苦 Bitter,,,,,,,,,,,
,,丁公藤,Ding Gong Teng,温 Warm,"肝经 Liver,脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,丁香,Ding Xiang,温 Warm,"脾经 Spleen,胃经 Stomach,肺经 Lung,肾经 Kidney",辛 Pungent,,,,,,,,,,,
Cordyceps,Cordyceps militaris,冬虫夏草,Dong Chong Xia Cao,平 Neutral,"肺经 Lung,肾经 Kidney",甘 Sweet,Non-toxic,Store in a ventilated and dry place,"This product is composed of worm body and fungal . Silkworm-like body, 3-5cm long, 3-8mm in diameter, dark brown to yellowish brown on the surface, with 20-30 rings , the rings near the head are thinner; the head is reddish brown, with 8 pairs of legs, the middle part 4 pairs are more obvious; the quality is brittle, easy to break, the section is slightly flat, light yellow and white. Semen solitary , slender and round, 4-7cm long, about 3mm in diameter; the surface is dark brown to tan, with fine longitudinal wrinkles, the upper part is slightly enlarged, and there is no obvious difference between the head and the handle; the texture is flexible, and the cross-section is off-white . The gas is slightly fishy and the taste is light.","Produced in Sichuan, Tibet, Qinghai, Yunnan, Gansu and other local alpine meadows above 3000 meters above sea level",A complex of sub-seats and larval corpses .,"1. Take the original medicinal materials, remove impurities , and sieve the soil.","Tonify the kidney and lung, stop bleeding and resolve phlegm.","Prolonged cough and shortness of breath , labored cough with phlegm and blood : This product is sweet and flat, and is a good product for nourishing the lung and kidney.","Decoction, 5-15g. It can also be made into pills and powders.",Those with evil appearance should not use it.,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fcongcao.jpg?alt=media&token=af774220-1d0d-472d-95ff-d6a1e4e0735b
,,冬瓜皮,Dong Gua Pi,凉 Cool,"脾经 Spleen,小肠经 Small Intestine,其他 Others",甘 Sweet,,,,,,,,,,,
,,冬凌草,Dong Ling Cao,寒 Cold,"肺经 Lung,胃经 Stomach,肝经 Liver","苦 Bitter,甘 Sweet",,,,,,,,,,,
,,豆蔻,Dou Kou,温 Warm,"肺经 Lung,脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,独活,Du Huo,温 Warm,"肾经 Kidney,膀胱经 Bladder","辛 Pungent,苦 Bitter",,,,,,,,,,,
,,独一味,Du Yi Wei,平 Neutral,肝经 Liver,"甘 Sweet,苦 Bitter",,,,,,,,,,,
,,杜仲,Du Zhong,温 Warm,"肝经 Liver,肾经 Kidney",甘 Sweet,,,,,,,,,,,
,,杜仲叶,Du Zhong Ye,寒 Cold,"肝经 Liver,肾经 Kidney","甘 Sweet,苦 Bitter",,,,,,,,,,,
,,莪术,E Zhu,N/A,"肝经 Liver,脾经 Spleen",苦 Bitter,,,,,,,,,,,
,,鹅不食草,E Bu Shi Cao,温 Warm,肺经 Lung,辛 Pungent,,,,,,,,,,,
,,番泻叶,Fan Xie Ye,寒 Cold,大肠经 Large Intestine,"甘 Sweet,苦 Bitter",,,,,,,,,,,
,,防风,Fang Feng,温 Warm,"膀胱经 Bladder,肝经 Liver,脾经 Spleen","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,防己,Fang Ji,寒 Cold,"膀胱经 Bladder,肺经 Lung",苦 Bitter,,,,,,,,,,,
,,佛手,Fo Shou,温 Warm,"肝经 Liver,脾经 Spleen,胃经 Stomach,肺经 Lung","辛 Pungent,苦 Bitter,酸 Sour",,,,,,,,,,,
Poria Cocos,Wolfiporia extensa,茯苓,Fu Ling,平 Neutral,"心经 Heart,肺经 Lung,脾经 Spleen,肾经 Kidney","甘 Sweet,淡 Light",Non-toxic,"Store in a dry place, away from moisture","1. Poria cocos: spherical, oval, oblate or irregular lumps with different sizes. The outer skin is thin and rough, brown to dark brown, with obvious wrinkled texture. Heavy, solid, granular in cross-section, some with cracks, light brown outer layer, white inner layer, a few light red, and some with pine roots in the middle. Slight gas, light taste, chewing sticky teeth.

2. Poria cocos block: it is the poria cocos that is peeled and cut, in the shape of cubes or thick slices, with different sizes. White, light red or light brown.

3. Poria slices: Poria cocos sliced ​​after peeling, in irregular thick slices, varying in thickness. White, light red or light brown.","Distributed in Hebei, Henan, Shandong, Anhui, Zhejiang, Fujian, Guangdong, Guangxi, Hunan, Hubei, Sichuan, Guizhou, Yunnan, Shanxi and other places. Mainly produced in Anhui, Yunnan and Hubei.",Dried sclerotia of the fungus.,"1. Take Poria cocos, soak, wash, moisten, steam for a while, peel off the outer skin in time, cut into blocks or thick slices, and dry in the sun.","Inducing diuresis to eliminate dampness, invigorating the spleen, calming the mind.","For edema, oliguria, dizziness and palpitation due to phlegm and retention, insufficiency of the spleen, lack of food, loose stool and diarrhea, restlessness, palpitation and insomnia.","Decoction, 10-15g. It can also be made into pills and powders.",Contraindicated for those with yin deficiency and hyperactivity of fire.,https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Ffuling.jpg?alt=media&token=19f9ca49-80ff-4314-b2a2-bad14986b277
,,浮萍,Fu Ping,寒 Cold,肺经 Lung,辛 Pungent,,,,,,,,,,,
,,附子,Fu Zi,热 Hot,"心经 Heart,肾经 Kidney,脾经 Spleen","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,覆盆子,Fu Pen Zi,温 Warm,,"甘 Sweet,酸 Sour",,,,,,,,,,,
Licorice,Glycyrrhiza glabra,甘草,Gan Cao,平 Neutral,"心经 Heart,肺经 Lung,脾经 Spleen,胃经 Stomach",甘 Sweet,Non-toxic,"Store in a ventilated and dry place, moth-proof","Licorice: perennial herb; roots and rhizomes are thick, 1-3 cm in diameter, brown on the outside, light yellow on the inside, sweet.","Born in dry grasslands and sunny hillsides. Distributed in Northeast China, North China and Shaanxi, Gansu, Qinghai, Xinjiang, Shandong and other regions",Dry roots and rhizomes.,"1. Licorice: remove impurities, wash, moisten thoroughly, cut into thick slices, and dry.

2. Roasting licorice: take licorice slices, fry them until yellow to dark yellow according to the honey-roasting method, take them out when they are not sticky, and let them cool in the air. This product is in the form of round or oval slices. Outer skin reddish brown or grayish brown, slightly shiny. The cut surface is yellow to dark yellow, with obvious cambium ring and radial rays. Slightly sticky. With coke aroma, sweet.","Invigorating the spleen and replenishing qi, clearing away heat and detoxification , eliminating phlegm and relieving cough, relieving spasm and relieving pain, harmonizing various medicines.","For weakness of the spleen and stomach, lassitude and weakness, palpitation and shortness of breath, cough with copious phlegm, epigastric abdomen , extremity convulsion acute pain, carbuncle sore tumefacting virus, alleviates drug toxicity, strong.","Oral administration: Decoction , 3-9g (large dose 30-60g). External application: appropriate amount, decocted for washing; or powdered for application.","It should not be used together with seaweed, Beijing euphorbia, red euphorbia , kansui and genkwa.",https://firebasestorage.googleapis.com/v0/b/pinellia-66b18.appspot.com/o/herb%2Fgancao.jpg?alt=media&token=942a351e-01c9-4f3b-9105-7be6012c31bd
,,甘松,Gan Song,温 Warm,"脾经 Spleen,胃经 Stomach","辛 Pungent,甘 Sweet",,,,,,,,,,,
,,甘遂,Gan Sui,寒 Cold,"肺经 Lung,胃经 Stomach,大肠经 Large Intestine",苦 Bitter,,,,,,,,,,,
,,干姜,Gan Jiang,热 Hot,"脾经 Spleen,胃经 Stomach,肾经 Kidney,心经 Heart,肺经 Lung",辛 Pungent,,,,,,,,,,,
,,杠板归,Gong Ban Gui,寒 Cold,"肺经 Lung,膀胱经 Bladder",酸 Sour,,,,,,,,,,,
,,高良姜,Gao Liang Jiang,热 Hot,"脾经 Spleen,胃经 Stomach",辛 Pungent,,,,,,,,,,,
,,藁本,Gao Ben,温 Warm,膀胱经 Bladder,辛 Pungent,,,,,,,,,,,
,,葛根,Ge Gen,凉 Cool,"脾经 Spleen,胃经 Stomach,肺经 Lung","甘 Sweet,辛 Pungent",,,,,,,,,,,
,,钩藤,Gou Teng,凉 Cool,"肝经 Liver,心包经,其他 Others",甘 Sweet,,,,,,,,,,,
,,枸骨叶,Gou Gu Ye,平 Neutral,胃经 Stomach,"苦 Bitter,涩 Astringent",,,,,,,,,,,
